index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
35722,1,3,2.09338,1.97963,1.82657,0.106785,0.955576,0.0494843,0.900869,63.5213,127.059,127.059,9.24767
35723,1,3,2.08478,1.97963,1.82657,0.134883,0.955576,0.0495909,0.899806,63.6067,126.43,280.878,9.23852
35724,1,3,2.09338,1.97963,1.8394,0.106785,0.955576,0.0489948,0.900428,63.6524,127.322,127.322,9.23852
35725,1,3,2.11847,1.97963,1.8394,0.115373,0.955576,0.048214,0.898038,63.2164,126.75,283.924,9.22937
35726,1,3,2.09338,1.97963,1.82032,0.106785,0.955576,0.0497275,0.902144,63.731,127.479,127.479,9.22937
35727,1,3,2.09338,1.97963,1.80781,0.106785,0.955576,0.0502217,0.903524,63.8559,127.729,23890.4,9.22024
35728,1,3,2.09338,1.97513,1.82032,0.106785,0.982809,0.0496627,0.901368,63.7903,127.054,127.054,9.22024
35729,1,3,2.0837,1.97513,1.82032,0.106317,0.982809,0.0499601,0.901717,63.8525,126.995,126.995,9.21111
35730,1,3,2.0837,1.97513,1.80521,0.106317,0.982809,0.0505441,0.902559,63.7966,126.883,23890.6,9.20199
35731,1,3,2.0837,1.97674,1.82032,0.106317,0.925202,0.0503116,0.904873,64.1183,128.523,23891.5,9.20199
35732,1,3,2.09756,1.97513,1.82032,0.0866617,0.982809,0.0496434,0.902704,63.8904,127.771,127.771,9.20199
35733,1,3,2.062,1.97513,1.82032,0.056259,0.982809,0.0509025,0.905397,64.147,128.212,23893,9.19288
35734,1,3,2.08986,1.97513,1.82032,0.0786163,0.982809,0.0499159,0.903086,63.8735,127.756,127.756,9.19288
35735,1,3,2.09073,1.93831,1.83299,0.105673,0.968188,0.0505209,0.900687,63.5128,126.041,23889.6,9.18378
35736,1,3,2.10958,1.93831,1.84749,0.0912773,0.968188,0.0495201,0.90005,63.4793,126.649,126.649,9.18378
35737,1,3,2.10958,1.95402,1.84749,0.0912773,0.929962,0.0492399,0.901368,63.5366,127.701,127.701,9.17469
35738,1,3,2.10958,1.95402,1.81331,0.0912773,0.929962,0.0505577,0.903768,63.4966,127.62,23891.3,9.16561
35739,1,3,2.10958,1.95402,1.85446,0.0912773,0.929962,0.0489816,0.899134,63.1092,126.842,282.326,9.16561
35740,1,3,2.10958,1.97917,1.84749,0.0912773,0.916522,0.0485374,0.901142,63.4821,128.276,128.276,9.16561
35741,1,3,2.09003,1.97917,1.84749,0.0752575,0.916522,0.049201,0.901441,63.3168,127.912,127.912,9.15654
35742,1,3,2.09003,1.97252,1.84749,0.0752575,0.936402,0.0492833,0.901443,63.4599,127.748,127.748,9.14748
35743,1,3,2.09003,1.99878,1.84749,0.0752575,0.943943,0.0484716,0.900848,63.4944,128.165,128.165,9.13842
35744,1,3,2.09003,1.99878,1.8171,0.0752575,0.943943,0.0496688,0.903359,63.5394,128.256,128.256,9.12938
35745,1,3,2.09003,1.99878,1.82411,0.0752575,0.943943,0.0493863,0.902668,63.4978,128.172,128.172,9.12034
35746,1,3,2.09003,1.99878,1.83234,0.0752575,0.943943,0.0490597,0.902679,63.6621,128.504,128.504,9.11131
35747,1,3,2.09003,2.02467,1.82411,0.0752575,0.939123,0.0487386,0.903006,63.6404,129.002,129.002,9.11131
35748,1,3,2.04077,2.02467,1.82411,0.0514658,0.939123,0.050477,0.904559,63.6374,128.481,23891.9,9.10229
35749,1,3,2.09622,2.02467,1.82411,0.0635829,0.939123,0.0486061,0.904172,63.8154,129.732,129.732,9.10229
35750,1,3,2.09622,2.02467,1.82085,0.0635829,0.939123,0.0487404,0.903661,63.6179,129.331,129.331,9.09328
35751,1,3,2.09622,2.02467,1.79502,0.0635829,0.939123,0.0498316,0.906303,63.798,129.697,129.697,9.08428
35752,1,3,2.09622,2.02467,1.8086,0.0635829,0.939123,0.0492515,0.905434,63.8364,129.775,129.775,9.07529
35753,1,3,2.09622,1.99959,1.8086,0.0635829,0.924986,0.0500005,0.907273,64.0927,130.085,23892.1,9.06631
35754,1,3,2.11814,2.02467,1.8086,0.100445,0.939123,0.0484133,0.903734,63.9053,129.554,129.554,9.06631
35755,1,3,2.08272,2.02467,1.8086,0.126465,0.939123,0.0493299,0.903005,63.9899,128.422,128.422,9.05733
35756,1,3,2.08272,2.04178,1.8086,0.126465,0.927446,0.049,0.902437,63.7935,128.516,128.516,9.04837
35757,1,3,2.08384,2.04178,1.8086,0.14706,0.927446,0.0488445,0.901744,63.9106,128.299,128.299,9.03941
35758,1,3,2.11608,2.04178,1.8086,0.166241,0.927446,0.0477548,0.900189,63.8646,128.42,128.42,9.03046
35759,1,3,2.11608,2.04178,1.76253,0.166241,0.927446,0.0497632,0.902622,63.629,127.946,127.946,9.02152
35760,1,3,2.12405,1.93831,1.84749,0.0800149,0.968188,0.0491713,0.901022,63.6205,127.444,127.444,9.01259
35761,1,3,2.09073,1.96666,1.84749,0.105673,0.975765,0.0490396,0.898405,63.4112,126.235,282.843,9.01259
35762,1,3,2.09073,1.9485,1.84749,0.105673,0.971103,0.0496433,0.899253,63.4932,126.143,281.444,9.01259
35763,1,3,2.07493,1.93831,1.84749,0.0905714,0.968188,0.0505598,0.900315,63.4593,125.954,23889.7,9.01259
35764,1,3,2.09073,1.95423,1.84749,0.105673,0.985536,0.0493636,0.899231,63.6589,126.332,281.667,9.01259
35765,1,3,2.09073,1.96555,1.84749,0.105673,0.928163,0.049369,0.900801,63.5721,127.33,127.33,9.01259
35766,1,3,2.09684,1.96555,1.84749,0.122296,0.928163,0.0490957,0.899772,63.543,127.017,281.518,9.00367
