index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
33795,1,3,2.19101,1.93905,1.78854,0.317331,1.12303,0.0467098,0.926453,76.817,145.819,145.819,21.5874
33796,1,3,2.19101,1.93905,1.90137,0.317331,1.12303,0.0433357,0.927036,78.5674,149.142,149.142,21.566
33797,1,3,2.19101,1.9482,1.90137,0.317331,1.12184,0.043028,0.926243,78.2904,148.861,148.861,21.5447
33798,1,3,2.16488,1.9482,1.90137,0.408271,1.12184,0.0430135,0.928677,81.5303,151.486,151.486,21.5234
33799,1,3,2.16488,1.9482,1.93108,0.408271,1.12184,0.0422623,0.925609,80.6986,149.94,149.94,21.5021
33800,1,3,2.16488,2.03886,1.93108,0.408271,1.08159,0.0397712,0.924026,80.0141,151.549,151.549,21.4808
33801,1,3,2.16488,2.03886,1.73656,0.408271,1.08159,0.0462009,0.929612,79.5725,150.712,150.712,21.4595
33802,1,3,2.16446,2.03886,1.73656,0.302674,1.08159,0.0471663,0.936738,79.5934,154.111,154.111,21.4383
33803,1,3,2.16446,2.03886,1.70259,0.302674,1.08159,0.0485666,0.936819,79.1963,153.342,153.342,21.4171
33804,1,3,2.16446,2.04943,1.70259,0.302674,1.10963,0.0479915,0.935478,79.0951,152.845,152.845,21.3959
33805,1,3,2.10632,1.86789,1.82468,0.434377,1.21719,0.0483132,0.889422,69.1954,123.34,293.795,21.3747
33806,1,3,2.06301,1.86677,1.82468,0.38968,1.34077,0.048667,0.886802,69.6692,122.122,296.615,21.3747
33807,1,3,2.05481,1.86789,1.82468,0.297561,1.21719,0.0509959,0.900057,69.1872,125.734,23890.8,21.3747
33808,1,3,2.12303,1.86789,1.82468,0.436675,1.21719,0.047835,0.888179,68.9459,123.194,295.565,21.3747
33809,1,3,2.06301,1.94705,1.82468,0.38968,1.24132,0.047122,0.889803,68.9035,124.226,294.094,21.3747
33810,1,3,2.06301,1.93635,1.82468,0.38968,1.26416,0.0472011,0.895983,70.9728,127.316,287.657,21.3747
33811,1,3,2.06301,1.88789,1.82468,0.38968,1.45325,0.0464361,0.878808,70.2374,121.341,308.157,21.3747
33812,1,3,2.06301,1.86789,1.72495,0.38968,1.21719,0.0525923,0.902319,70.8255,126.488,23896.5,21.3747
33813,1,3,2.06301,1.84709,1.82468,0.38968,1.14138,0.0514989,0.909506,72.7628,130.873,23897.5,21.3747
33814,1,3,2.06301,1.85931,1.82468,0.38968,1.25617,0.0499155,0.898303,71.2092,126.276,283.041,21.3747
33815,1,3,2.06301,1.82699,1.82468,0.38968,1.41737,0.04924,0.891735,72.6033,124.848,291.737,21.3747
33816,1,3,2.06301,1.86789,1.76975,0.38968,1.21719,0.0513779,0.903775,71.6759,128.007,23894.2,21.3747
33817,1,3,2.06301,1.95784,1.82468,0.38968,1.18571,0.0473611,0.902428,71.6307,130.373,130.373,21.3747
33818,1,3,2.06301,1.95784,1.80119,0.38968,1.18571,0.0480241,0.90196,71.2213,129.627,129.627,21.3535
33819,1,3,2.2021,1.95784,1.80119,0.310451,1.18571,0.0448672,0.908393,71.7322,135.843,135.843,21.3324
33820,1,3,2.2021,1.98472,1.80119,0.310451,1.22331,0.0436556,0.904009,71.1603,134.642,134.642,21.3113
33821,1,3,2.2021,1.9443,1.80119,0.310451,1.31045,0.0437642,0.898158,71.0748,131.867,288.856,21.2902
33822,1,3,2.17834,1.98472,1.80119,0.291306,1.22331,0.0443409,0.908945,72.2514,136.68,136.68,21.2902
33823,1,3,2.17834,2.07028,1.80119,0.291306,1.18853,0.0426365,0.910714,72.4213,139.544,139.544,21.2691
33824,1,3,2.21065,2.07028,1.80119,0.429824,1.18853,0.0408584,0.899751,72.1653,135.994,290.528,21.248
33825,1,3,2.17834,2.02084,1.80119,0.291306,1.0087,0.0454665,0.920039,72.7901,142.449,142.449,21.248
33826,1,3,2.17834,2.07028,1.75486,0.291306,1.18853,0.0442617,0.914557,73.0607,140.776,140.776,21.248
33827,1,3,2.11114,2.07028,1.75486,0.294408,1.18853,0.0460513,0.910199,71.597,136.307,136.307,21.227
33828,1,3,2.11114,2.00135,1.75486,0.294408,1.31114,0.0458467,0.900956,71.1548,131.638,131.638,21.206
33829,1,3,2.11114,2.00135,1.98057,0.294408,1.31114,0.0403688,0.884472,69.2525,128.119,306.205,21.185
33830,1,3,2.06301,1.86789,1.82411,0.38968,1.21719,0.0500131,0.893637,69.2436,123.663,24049.7,21.185
33831,1,3,2.06301,1.86789,1.85611,0.38968,1.21719,0.0492661,0.896676,70.4315,125.785,285.059,21.185
33832,1,3,2.05251,1.86789,1.82468,0.524986,1.21719,0.0490053,0.885157,70.2335,121.383,298.413,21.185
33833,1,3,1.93887,1.86789,1.82468,0.376472,1.21719,0.0546772,0.909159,73.2734,128.13,23904.5,21.185
33834,1,3,1.99999,1.86789,1.82468,0.387382,1.21719,0.0521595,0.901543,71.3235,125.945,23894.6,21.185
33835,1,3,2.06301,1.91554,1.82468,0.38968,1.18982,0.0486158,0.903016,71.7214,129.587,129.587,21.185
33836,1,3,2.19191,1.91554,1.82468,0.705488,1.18982,0.0416783,0.87517,73.4302,125.802,318.227,21.164
33837,1,3,2.06301,1.91554,1.73369,0.38968,1.18982,0.0511945,0.902793,70.7027,127.747,23893.4,21.164
33838,1,3,2.02872,1.91554,1.82468,0.305511,1.18982,0.0504149,0.910681,72.1891,131.911,23895.2,21.164
33839,1,3,2.06301,2.03452,1.82468,0.38968,1.10868,0.0460645,0.907356,72.3118,134.511,134.511,21.164
33840,1,3,2.06301,2.03452,1.87511,0.38968,1.10868,0.0445154,0.899416,70.6466,131.413,286.463,21.1431
33841,1,3,2.06301,1.98037,1.82468,0.38968,1.32548,0.0452368,0.895703,72.2101,129.278,290.051,21.1431
