c,delta_u3,delta_l3,delta_u2,delta_l2,feasible
1.889073559501486,0.0,0.6032143763362862,0.08473957261819373,1.1720249011549357,0
1.8052034303736804,0.06898055219038758,0.8228384020844113,0.3014253185026724,1.0283970930535602,0
1.89337035680413,0.0,0.6030775022954259,0.07544742743322518,1.1727934255042054,0
1.804927950448972,0.07177561361019447,0.8276318808942269,0.30381736210528887,1.0284698413410451,0
1.8974560599871337,0.0,0.6026027098192227,0.06567139669632231,1.1734428884561738,0
1.8047480678905519,0.07366676067332599,0.8309734935227439,0.3067284803016145,1.0284239553604715,0
1.900432437640831,0.0,0.6023999841773102,0.05892616629787395,1.1738340633021385,0
1.6939044784686272,0.3378515687040468,1.0115322354916874,0.5461179681433668,1.1108065889975454,0
1.8060207329453337,0.071329789137597,0.8259332943727078,0.3090520196303417,1.028170098350391,0
1.900535588435585,0.0,0.6023256952362428,0.0616902877704251,1.1738352900526487,0
1.8059133073085707,0.07303209364984009,0.8282601909681944,0.3104214921655828,1.0282317999399437,0
1.9020053797421763,0.0,0.6025266418395774,0.059631180940108254,1.1739833038170182,0
1.8058490996276697,0.07428345742028358,0.8301111922929977,0.3121759818431912,1.0281625423174243,0
1.9085028716561752,0.026476519535239294,0.6182735692159859,0.0,1.174436861965639,0
1.7260959482475404,0.3378515687040468,1.0115322354916874,0.3162612453933203,1.1048010285065606,1
1.7903453471912787,0.13516071654137088,0.8880659859236995,0.2577402073032635,1.044576022713823,0
1.7922416064604934,0.13184258614715527,0.8823676752419752,0.25830162270002477,1.0444545285244307,0
1.5356079417852893,0.3378515687040468,1.0115322354916874,0.0,1.4240757062936018,0
1.7940714910747755,0.12796778815221005,0.8763320323549822,0.26038327881155793,1.0443799987751705,0
1.7954578451599459,0.1249895163158032,0.8717787722065001,0.26220804528364905,1.0443087321453912,0
1.9037461125919535,0.0,0.6161133299474103,0.0651815002720567,1.173882109992651,0
1.7534194599068749,0.3378515687040468,1.0115322354916874,0.0,1.4240757062936018,0
1.903138420098534,0.0,0.6173414626051924,0.06913498121097857,1.1736242163402968,0
1.7970249786305748,0.11384993332596306,0.8626718400304939,0.28308066051693076,1.0427001065670145,0
1.903644211608422,0.0,0.6175687831919984,0.06951352437706669,1.173597839368232,0
1.7974142099472115,0.11421257438168535,0.8627994192543503,0.283142724404328,1.0423997643249594,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.0,1.4240757062936018,0
1.9048284257176211,0.0,0.6175571145117124,0.06772929059440398,1.1736230554483706,0
1.7979058326987434,0.11374460463097139,0.862371300572984,0.284691151515412,1.0418028294130761,0
1.8609495907751141,0.0,1.0115322354916874,0.4861319938908554,0.8240757062936017,1
1.8031566103335446,0.0,0.8041342558806216,0.5461179681433668,1.0230816804049292,0
1.8081212830359705,0.0,0.7968157091845068,0.5119663911693703,1.0159100979281674,0
1.8115743350145495,0.0,0.7912600865289596,0.4883762294043511,1.0084451734935669,0
1.7037943642946927,0.3378515687040468,1.0115322354916874,0.5274847575632906,0.8240757062936017,1
1.6783981110601536,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9602279300170229,0
1.683510956738247,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9628387925012771,0
1.6874932620475132,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9647088325687945,0
1.7247662457215513,0.3378515687040468,1.0115322354916874,0.13579867162163456,0.8240757062936017,0
1.6915056472740329,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9673233768725072,0
1.6940653260620158,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9680434915729881,0
1.8063356579094507,0.0,0.7699493781150116,0.5461179681433668,0.9697483424287777,0
1.736528679640792,0.3378515687040468,1.0115322354916874,0.11368951577716829,0.8240757062936017,0
1.6968292269483385,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9693128728577448,0
1.80723066883646,0.0,0.7613084928788524,0.5461179681433668,0.9661638482397514,0
1.5356079417852893,0.0,0.4115322354916873,0.5461179681433668,1.2274974941754628,0
1.9151348423634116,0.030099146700922574,0.6491360515675313,0.0,1.173391021892121,0
1.5356079417852893,0.0,0.4115322354916873,0.0,1.2575516105981284,0
